RegionName,StateName,Year,HomeValueYearlyAvg,RentalValueYearlyAvg,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,INflow,OUTflow,NET in,GROSS out,crime_rate_per_100000,TotalLivingCost,HousingCostAvg,AffordabilityScore
Ada County,ID,2015.0,212397.9072286036,959.4907801422656,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,106678.69900437293,0.7611178771754037
Ada County,ID,2016.0,230539.37970302926,1018.848029828352,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,115779.1138664288,0.7579387906363547
Ada County,ID,2017.0,251736.0018588988,1092.9869546898226,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,126414.4944067943,0.7542234880236669
Ada County,ID,2018.0,282648.44085637765,1182.4045843802712,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,141915.42272037896,0.7488084829616506
Ada County,ID,2019.0,317022.67977473186,1270.4021333477426,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,159146.5409540398,0.7427890633132348
Ada County,ID,2020.0,358242.04064635787,1356.0944474311873,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,179799.06754689454,0.7355744285648291
Ada County,ID,2021.0,485932.2643981732,1627.8053598175195,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,243780.03487899536,0.7132236857598064
Ada County,ID,2022.0,536583.4038774899,1769.0035359082704,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,269176.2037066991,0.7043519343410662
Ada County,ID,2023.0,489355.75962120155,1776.3526005159622,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,245566.05611085874,0.7125997673843545
Ada County,ID,2024.0,501150.15298378456,1815.8296560990093,13957.145604,9374.768124,13254.449627999998,11816.786928,8454.072384000001,11773.984872,9533.618747999999,78164.8254,87161.1015625,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3,32954.0,25475.0,5876.0,56826.0,206.5004418,78164.826288,251482.9913199418,0.7105327793007616
